"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"37/000164";"Pensión";"Categoría única";"";"VIRGINIA";"Paseo  DE LA ESTACION 109-115 D 1 IZDA";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/241016";"923/228751";"";"";"";"";"";"6";"-5,649364";"40,972327";"";
"37/000168";"Pensión";"Categoría única";"";"CHANITO";"Calle LAS ERAS, S/N";"37657";"Salamanca";"Sotoserrano";"SOTOSERRANO";"SOTOSERRANO";"923/422147";"";"";"";"";"";"";"5";"";"";"";
"37/000169";"Hotel";"2ª - 2 Estrellas";"";"COMPLEJO TURISTICO LA RAD";"CTRA. N-620, KM. 251-URB. LA RAD";"37449";"Salamanca";"Galindo y Perahuy";"GALINDO Y PERAHUY";"GALINDO Y PERAHUY";"923342186";"";"";"info@hotel-larad.com";"www.hotel-larad.com";"";"";"46";"";"";"";
"37/000170";"Pensión";"Categoría única";"";"EL RUBIO";"Calle VENTORRO DE FRESNEDOSO, S/N";"37775";"Salamanca";"Fresnedoso";"FRESNEDOSO";"FRESNEDOSO";"923413619";"";"";"";"";"";"";"11";"";"";"";
"37/000171";"Hotel Residencia";"2ª - 2 Estrellas";"";"ALDA GUIJUELO";"Calle SAN MARCOS, 3";"37770";"Salamanca";"Guijuelo";"GUIJUELO";"GUIJUELO";"923581451";"722161480";"";"aldaguijuelo@aldahoteles.com";"";"";"";"66";"";"";"";
"37/000175";"Hostal";"2ª - 2 Estrellas";"";"EL CASTILLO";"CTRA. MOGARRAZ, S/N";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415001";"";"";"info@hostalelcastillo.com";"www.hostalelcastillo.com";"";"";"17";"-6,1076014";"40,4887526";"";
"37/000178";"Hotel Residencia";"2ª - 2 Estrellas";"";"AMEFA";"Calle POZO AMARILLO, 18-20";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923218189";"";"";"reservas@hotelamefa.com";"";"";"";"59";"";"";"";
"37/000182";"Hotel";"3ª - 3 Estrellas";"";"BALNEARIO DE RETORTILLO";"CTRA. VITIGUDINO, KM. 30";"37495";"Salamanca";"Retortillo";"RETORTILLO";"RETORTILLO";"923450411";"923450412";"";"direccion@balnearioretortillo.com";"www.balnearioretortillo.com";"";"";"280";"-6,41388";"40,797027";"Si";
"37/000183";"Hostal Residencia";"2ª - 2 Estrellas";"";"ARGENTINO";"Travesía RECREO, S/N";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923402364";"";"";"";"";"";"";"26";"-5,751669";"40,389233";"";
"37/000188";"Hostal";"1ª - 1 Estrella";"";"MIROBRIGA";"VICENTE ALEXANDRE, 31";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923480224";"923461651";"";"hostalmirobriga@eresmas.com";"www.hostalmirobriga.com";"";"";"12";"-6,524057";"40,6033497";"";
"37/000189";"Hotel";"4ª - 4 Estrellas";"";"HOTEL CONDE RODRIGO II by eme hoteles";"Calle HUERTA DE LAS VIÑAS S/N";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"663681290";"";"";"";"https://www.hotelemeconderodrigo.c";"";"";"88";"-6,5533333";"40,5586111";"";
"37/000190";"Hotel";"3ª - 3 Estrellas";"";"MOZARBEZ SALAMANCA";"Carretera CTRA. NACIONAL 630, KM. 352";"37796";"Salamanca";"Mozárbez";"MOZARBEZ";"MOZARBEZ";"923308291";"";"";"recepcion@hotelmozarbez.com";"www.hotelmozarbez.com";"";"";"58";"";"";"Si";
"37/000193";"Hotel";"2ª - 2 Estrellas";"";"EL CRUCE";"CTRA. TAMAMES, S/N";"37200";"Salamanca";"Fuente de San Esteban (La)";"FUENTE DE SAN ESTEBAN (LA)";"FUENTE DE SAN ESTEBAN (LA)";"923440135";"";"";"";"";"";"";"13";"-6,244351";"40,791636";"";
"37/000198";"Pensión";"Categoría única";"";"LA VILLARINA";"Calle ARROYO 4";"37470";"Salamanca";"Sancti-Spíritus";"SANCTI-SPIRITUS";"SANCTI-SPIRITUS";"923484038";"";"";"";"";"";"";"7";"";"";"";
"37/000199";"Pensión";"Categoría única";"";"SANTA MARTA II";"Calle BAJADA DEL RIO, 24-2º B";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"SANTA MARTA DE TORMES";"923200069";"";"";"";"";"";"";"8";"";"";"";
"37/000201";"Pensión";"Categoría única";"";"ABACA ISABEL";"Plaza BARCELONA 24-25  6-5";"37004";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923249254";"923228751";"651788214";"info@pensionisabel.com";"";"";"";"11";"-5,670017";"40,964817";"";
"37/000202";"Hostal Residencia";"2ª - 2 Estrellas";"";"LAS FLORES";"BAJADA DEL RIO, 18-20";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"";"923 130767";"";"";"reservas@hostallasflores.com";"www.hostallasflores.com";"";"";"24";"";"";"";
"37/000203";"Hotel Residencia";"5ª - 5 Estrellas";"";"RECTOR";"Paseo RECTOR ESPERABÉ 10";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923218482";"";"";"info@hotelrector.com";"www.hotelrector.com";"";"";"29";"";"";"";
"37/000204";"Hotel Residencia";"3ª - 3 Estrellas";"";"HOTEL HELMANTICO";"Carretera CTRA. N-630, KM. 1.SALAMANCA-ZAMORA";"37184";"Salamanca";"Villares de la Reina";"VILLARES DE LA REINA";"VILLARES DE LA REINA";"923221220";"";"";"contacto@hotelhelmantico.com";"";"";"";"105";"";"";"";
"37/000206";"Hotel Residencia";"1ª - 1 Estrella";"";"LE PETIT HOTEL GIRARDI";"RONDA DE SANCTI-SPIRITUS, 39";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923 600774";"923 600773";"";"";"www.lepetithotel.net";"";"";"30";"";"";"Si";
"37/000207";"Hostal Residencia";"2ª - 2 Estrellas";"";"CUZCO";"Calle OBISPO BARBADO VIEJO, 2-4";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923265745";"";"";"info@hostalcuzcosalamanca.com";"www.hostalcuzco.net";"";"";"30";"";"";"";
"37/000208";"Pensión";"Categoría única";"";"ROBLES";"Plaza MAYOR,  20- 2º";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/213197";"";"";"";"";"";"";"16";"";"";"";
"37/000209";"Hotel";"2ª - 2 Estrellas";"";"HOTEL YOANNA";"Calle REINO DE LEON 12  1º";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"600465639";"";"";"";"";"";"";"30";"";"";"Si";
"37/000210";"Hotel";"4ª - 4 Estrellas";"";"NH PALACIO DE CASTELLANOS";"SAN PABLO, 58-64";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923261818";"";"";"nhpalaciodecastellano@nh-hotels.com";"www.nh-hotels.com";"";"";"113";"";"";"";
"37/000211";"Hostal";"2ª - 2 Estrellas";"";"HOSTAL LAS CAVENES DEL CABACO";"Calle PEÑA DE FRANCIA 5";"37621";"Salamanca";"Cabaco (El)";"CABACO (EL)";"CABACO (EL)";"971677791";"";"";"hostallascavenesdelcabaco@gmail.com";"hostal-las-cavenesdelcabaco.es";"";"";"19";"";"";"";
"37/000212";"Pensión";"Categoría única";"";"CARMEN";"PLAZA ESPAÑA, 7";"37610";"Salamanca";"Mogarraz";"MOGARRAZ";"";"923/418119";"923/418189";"";"";"";"";"";"10";"";"";"";
"37/000215";"Hotel Residencia";"2ª - 2 Estrellas";"";"HOTEL MATILDE BY GAIAROOMS";"Calle QUINTANA 6";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923177163";"";"";"matilde@gaiarooms.com";"WWW.GAIAROOMS.COM";"";"";"30";"";"";"Si";
"37/000218";"Hotel";"3ª - 3 Estrellas";"";"HOTEL SILKEN RONA DALBA";"Plaza SAN JUAN BAUTISTA 12";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923263232";"";"";"hronadalba@hoteles-silken.com";"www.hotelronadalba.com";"";"";"191";"";"";"";
"37/000219";"Hostal";"1ª - 1 Estrella";"";"LA PONDEROSA";"CTRA. NACIONAL 620,P.K.303";"37470";"Salamanca";"Sancti-Spíritus";"SANCTI-SPIRITUS";"";"923163100";"";"";"";"";"";"";"12";"";"";"Si";
"37/000220";"Hostal Residencia";"1ª - 1 Estrella";"";"LOS CHOPOS";"Carretera  BURGOS-PORTUGAL, KM. 341";"37497";"Salamanca";"Espeja";"ESPEJA";"ESPEJA";"923/483821";"";"";"";"";"";"";"15";"";"";"";
"37/000221";"Hotel";"1ª - 1 estrella";"";"VEGALLANA";"CTRA. BURGOS-PORTUGAL, KM. 289";"37208";"Salamanca";"Fuente de San Esteban (La)";"BOADILLA";"CANTINAS (LAS)";"923451106";"923451078";"";"";"";"";"";"40";"-6,220244";"40,798902";"";
"37/000222";"Hotel";"3ª - 3 Estrellas";"";"ANTIGUAS ERAS LA ALBERCA";"AVD. BATUECAS 29";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415113";"923415040";"";"hotel@antiguaseras.com";"www.antiguaseras.com";"";"";"63";"";"";"Si";
"37/000223";"Pensión";"Categoría única";"";"CHAMPAGNAT";"Avenida CHAMPAGNAT, 16-2º A";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923/220156";"637.71.24.13";"";"";"";"";"";"18";"";"";"";
"37/000224";"Hotel Residencia";"4ª - 4 Estrellas";"";"EXE SALAMANCA";"ALAVA, 8-14";"37001";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923261111";"923261111";"615299582";"reservas@exesalamanca.com";"www.exesalamanca.com";"";"";"120";"-5,657931";"40,963178";"Si";
"37/000226";"Hostal";"1ª - 1 Estrella";"";"MOYA";"Calle NUESTRA SEÑORA, 2-NUEVO NAHARROS";"37181";"Salamanca";"Pelabravo";"PELABRAVO";"PELABRAVO";"620382166";"";"";"";"";"";"";"6";"";"";"";
"37/000227";"Hotel Residencia";"2ª - 2 Estrellas";"";"EMPERATRIZ II";"Calle RUA MAYOR 18";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923219156";"";"";"emperatriz2@emperatrizhotel.com";"www.emperatrizhotel.com";"";"";"66";"";"";"";
"37/000228";"Hostal";"2ª - 2 Estrellas";"";"HOSTAL LA ALBERCA";"Plaza SAN ANTONIO 2";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415116";"610505794";"";"info@hostallaalberca.es";"";"";"";"";"-6,11149";"40,490489";"";
"37/000231";"Hostal Residencia";"1ª - 1 Estrella";"";"LA BOMBILLA";"Avenida DE ABUSEJO,7";"37600";"Salamanca";"Tamames";"TAMAMES";"TAMAMES";"923449105";"";"";"";"";"";"";"10";"";"";"";
"37/000232";"Hostal";"1ª - 1 Estrella";"";"HOSTAL GIBRALEÓN";"Calle GIBRALEON 2";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"0000";"669158076";"";"turnatbejar@gmail.com";"";"";"";"57";"";"";"";
"37/000234";"Hostal Residencia";"2ª - 2 Estrellas";"";"LA OTRA CASA";"Travesía ZUÑIGA RODRIGUEZ, 15";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923410851";"";"";"laotracasa@telefonica.com";"www.laotracasacafebar.com";"";"";"11";"";"";"";
"37/000235";"Hotel";"2ª - 2 Estrellas";"";"CINCO CASTAÑOS";"Carretera CTRA. DE LA SIERRA S/N";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923413204";"";"";"profetur@candelariohotel.com";"www.candelariohotel.com";"";"";"34";"-5,749698";"40,363454";"Si";
"37/000236";"Hotel";"3ª - 3 Estrellas";"";"SAN POLO";"Calle ARROYO DE SANTO DOMINGO, 2-4";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923211177";"";"";"hotelsanpolo@hotelsanpolo.com";"www.hotelsanpolo.com";"";"";"69";"";"";"Si";
"37/000237";"Hostal Residencia";"2ª - 2 Estrellas";"";"HOSTAL PLAZA MAYOR";"Plaza DEL CORRILLO 19-20  1º";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923262020";"601168144";"";"reservas@hostalplazamayor.com";"www.hostalplazamayor.es";"";"";"34";"-5,6648377";"40,9645164";"";
"37/000239";"Pensión";"Categoría única";"";"MARQUESA BONAL";"AVDA.LAS VILLAS,65";"37339";"Salamanca";"Villoria";"VILLORIA";"VILLORIA";"923356683";"";"";"";"";"";"";"22";"";"";"";
"37/000240";"Hotel Residencia";"2ª - 2 Estrellas";"";"NOBIS SALAMANCA";"C/ TESO DE LA FERIA, 31";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923192080";"";"";"hotelnobis@hotmail.es";"";"";"";"28";"-5,672884";"40,952206";"";
"37/000241";"Hotel";"3ª - 3 Estrellas";"";"ALDA RIO TORMES";"Avenida AVDA. SALAMANCA, 1";"37900";"Salamanca";"Santa Marta de Tormes";"SANTA MARTA DE TORMES";"SANTA MARTA DE TORMES";"613273608";"";"";"riotormes@aldahotels.com";"";"";"";"168";"-5,6481738";"40,9511536";"Si";
"37/000242";"Hotel";"4ª - 4 Estrellas";"";"DOÑA TERESA";"Carretera CTRA. MOGARRAZ, S/N";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415308";"";"";"contacto@hoteldeteresa.com";"www.hoteldeteresa.com";"";"";"74";"";"";"";
"37/000243";"Pensión";"Categoría única";"";"LA CLERECIA";"RUA ANTIGUA,9";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923995276";"600905354";"";"miriamandresgarcia@yahoo.es";"www.residenciauniversitarialaclerecia.es";"";"";"22";"";"";"";
"37/000244";"Pensión";"Categoría única";"";"DON SANCHO";"Calle GIBRALEON,1";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"";"";"";"";"";"";"";"23";"";"";"";
"37/000246";"Hostal Residencia";"1ª - 1 Estrella";"";"REAL";"Plaza HUMILLADERO, 11";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923413333";"";"";"";"www.edicionesweb.com/hostalreal";"";"";"24";"";"";"";
"37/000247";"Hotel";"2ª - 2 Estrellas";"";"LIMA";"Pº DE LA ESTACION, 48";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923/481819";"";"";"";"www.hotel-lima.com";"";"";"76";"-6,5303521";"40,6082032";"Si";
"37/000248";"Hostal Residencia";"2ª - 2 Estrellas";"";"CONCEJO";"PLZ. DE LA LIBERTAD,1";"37002";"Salamanca";"Salamanca";"SALAMANCA";"";"923214737";"923219211";"";"hconcejo@hconcejo.com";"";"";"";"23";"";"";"";
"37/000249";"Hotel Residencia";"2ª - 2 Estrellas";"";"BRACAMONTE";"Calle ISABEL LA CATOLICA,10 10";"37300";"Salamanca";"Peñaranda de Bracamonte";"PEÑARANDA DE BRACAMONTE";"PEÑARANDA DE BRACAMONTE";"618037953";"";"";"info@hotelbracamonte.com";"www.hotelbracamonte.com";"";"";"51";"";"";"Si";
"37/000250";"Hostal Residencia";"2ª - 2 Estrellas";"";"SAN BLAS";"AVDA. BATUECAS, 27";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"";"923/41.53.22";"";"";"";"";"";"";"26";"";"";"";
"37/000251";"Hostal";"1ª - 1 Estrella";"";"EL CAMPITO";"Calle LA VEGA 3";"37659";"Salamanca";"San Martín del Castañar";"SAN MARTIN DEL CASTAÑAR";"SAN MARTIN DEL CASTAÑAR";"688602396";"";"";"elcampitodesanmartin|gmail.com";"";"";"";"17";"";"";"";
"37/000252";"Hostal";"1ª - 1 Estrella";"";"LAS CADENAS B.A., C.B.";"PASEO DE CARMELITAS,18";"37100";"Salamanca";"Ledesma";"LEDESMA";"LEDESMA";"923 570343";"";"";"";"";"";"";"14";"";"";"";
"37/000257";"Hostal";"1ª - 1 Estrella";"";"HOSTAL LA BALSA";"Calle LA BALSA 2  1";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415337";"659133277";"";"rocioshoyos@hotmail.com";"";"";"";"";"";"";"";
"37/000259";"Hostal";"1ª - 1 Estrella";"";"EL DESCANSO";"C/ LOS CERCADOS, 1";"37115";"Salamanca";"Almenara de Tormes";"ALMENARA DE TORMES";"ALMENARA DE TORMES";"659649381";"";"";"joni-gm@hotmail.com";"";"";"";"8";"";"";"";
"37/000260";"Hostal";"1ª - 1 Estrella";"";"HOSPEDERIA MUNICIPAL";"Carretera BARRUECOPARDO 6";"37257";"Salamanca";"Saucelle";"SAUCELLE";"SAUCELLE";"644511726";"";"";"";"";"";"";"14";"";"";"";
"37/000261";"Hotel";"2ª - 2 Estrellas";"";"LOS DUQUES";"CARRETERA DEL CASTAÑAR, 8";"37700";"Salamanca";"Béjar";"BEJAR";"BEJAR";"923/40.13.17";"923/40.31.11";"";"";"";"";"";"22";"";"";"";
"37/000263";"Hostal Residencia";"2ª - 2 Estrellas";"";"ITALIA";"AVDA. ITALIA,11";"37007";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923255025";"";"";"info@hostalitaliasalamanca.com";"www.hostalitaliasalamanca.com";"";"";"78";"-5,6644444";"40,9697222";"";
"37/000264";"Hotel";"4ª - 4 Estrellas";"";"ARTHEUS CARMELITAS SALAMANCA";"RONDA DEL CORPUS, 2";"37002";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923212500";"923216080";"";"cs@artheushoteles.es";"www.artheushoteles.es";"";"";"129";"";"";"Si";
"37/000361";"Hotel";"4ª - 4 Estrellas";"";"PARADOR DE TURISMO ENRIQUE II";"Plaza  DEL CASTILLO 1";"37500";"Salamanca";"Ciudad Rodrigo";"CIUDAD RODRIGO";"CIUDAD RODRIGO";"923460150";"";"";"lucia.miguel@parador.es";"www.parador.es";"Si";"";"68";"";"";"";
"37/000362";"Hotel";"4ª - 4 Estrellas";"";"PARADOR DE SALAMANCA";"Calle TESO DE LA FERIA, 2";"37008";"Salamanca";"Salamanca";"SALAMANCA";"SALAMANCA";"923192082";"";"";"salamanca@parador.es";"www.parador.es";"Si";"";"210";"-5,67227";"40,953045";"Si";
"40/000004";"Hotel";"1ª - 1 estrella";"";"LUCIA";"Travesía ALTO DEL LEÓN 5";"40410";"Segovia";"Espinar (El)";"SAN RAFAEL";"SAN RAFAEL";"921171002";"";"";"";"";"";"";"27";"";"";"";
"40/000006";"Hostal Residencia";"1ª - 1 Estrella";"";"PLAZA";"Calle CRONISTA LECEA 11";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921460303";"";"";"informacion@hostal-plaza.com";"www.hostal-plaza.com";"";"";"50";"";"";"";
"40/000007";"Hotel";"4ª - 4 Estrellas";"";"HOTEL REAL SEGOVIA";"Calle JUAN BRAVO 30";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921466102";"609437166";"";"info@hotelrealsegovia.com";"www.hotelrealsegovia.com";"";"";"62";"";"";"Si";
"40/000008";"Hostal";"2ª - 2 Estrellas";"";"SIETE PICOS";"Paseo PASEO  DE MARTI ESTEVEZ, 10";"40400";"Segovia";"Espinar (El)";"ESPINAR (EL)";"ESPINAR (EL)";"921181084";"";"";"hostalsietepicos@hostalsietepicos.com";"www.hostalsietepicos.com";"";"";"39";"";"";"";
"40/000010";"Hostal";"1ª - 1 Estrella";"";"SOL CRISTINA";"AVDA. OBISPO QUESADA,  40-42";"40006";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921427513";"921436671";"";"hostal@sol-cristina.com";"www.sol-cristina.com";"";"";"28";"-4,114041";"40,934269";"";
"40/000011";"Hostal";"2ª - 2 Estrellas";"";"PLAZA";"Avenida ALTO DEL LEON 6";"40410";"Segovia";"Espinar (El)";"SAN RAFAEL";"SAN RAFAEL";"921172031";"921171328";"";"cesarrodriguezmaria@gmail.co";"";"";"";"10";"";"";"";
"40/000012";"Hostal Residencia";"2ª - 2 Estrellas";"";"SAN FRANCISCO";"Calle CAMILO JOSE CELA 2";"40200";"Segovia";"Cuéllar";"CUELLAR";"CUELLAR";"921140009";"921142067";"";"info@hmsanfrancisco.com";"www.hmsanfrancisco.com";"";"";"54";"";"";"Si";
"40/000019";"Hotel";"3ª - 3 Estrellas";"";"ELE ACUEDUCTO";"Avenida PADRE CLARET, 10";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921424800";"667764379";"";"J.FERNANDEZ@ELEHOTELES.COM";"www.elehoteles.com";"";"";"158";"-4,1152778";"40,9483333";"";
"40/000026";"Hostal Residencia";"1ª - 1 Estrella";"";"JUAN BRAVO";"Calle JUAN BRAVO 12";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"000000000";"";"";"";"";"";"";"14";"";"";"";
"40/000027";"Hotel";"2ª - 2 Estrellas";"";"VENTA MAGULLO - COMPLEJO HOSTELERO";"Carretera CTRA. SORIA-PLASENCIA, KM. 189";"40196";"Segovia";"Lastrilla (La)";"LASTRILLA (LA)";"LASTRILLA (LA)";"921435011";"620427048";"";"info@ventamagullo.es; oscarcalle@ventamagullo.es";"www.ventamagullo.es";"";"";"112";"-4,100765";"40,961251";"Si";
"40/000029";"Hostal";"1ª - 1 Estrella";"";"EL CORZO";"Carretera CORUÑA, KM 78,5";"40408";"Segovia";"Navas de San Antonio";"NAVAS DE SAN ANTONIO";"NAVAS DE SAN ANTONIO";"921193137";"921193025";"";"";"";"";"";"8";"-4,331797";"40,757834";"";
"40/000031";"Hostal";"1ª - 1 Estrella";"";"RUMA";"Travesía Pedro Nuñez Morgades 20";"40408";"Segovia";"Navas de San Antonio";"NAVAS DE SAN ANTONIO";"NAVAS DE SAN ANTONIO";" 921 19 30 00";"";"";"";"";"";"";"15";"";"";"";
"40/000032";"Motel";"3ª - 3 Estrellas";"";"LAS CAMPANAS DEL MILIARIO";"Carretera  MADRID-IRUN, KM. 135";"40541";"Segovia";"Honrubia de la Cuesta";"HONRUBIA DE LA CUESTA";"*DISEMINADO*";"921534365";"";"";"";"";"";"";"14";"";"";"";
"40/000036";"Hostal Residencia";"2ª - 2 Estrellas";"";"EL MIRADOR";"CTRA. DE VALLADOLID, Nº 3";"40196";"Segovia";"Lastrilla (La)";"LASTRILLA (LA)";"LASTRILLA (LA)";"921431994";"";"";"elmirador@elmirador.net";"www.elmirador.net";"";"";"83";"";"";"Si";
"40/000038";"Pensión";"Categoría única";"";"EL LLANO";"CTRA. CORUÑA, KM. 95";"40146";"Segovia";"Labajos";"LABAJOS";"LABAJOS";"921190554";"656582626";"";"davidellano@hotmail.com";"";"";"";"13";"";"";"";
"40/000039";"Hostal";"1ª - 1 Estrella";"";"LA ALEGRIA";"Carretera  MADRID-VALLADOLID, Km, 115";"40446";"Segovia";"Martín Muñoz de las Posadas";"MARTIN MUÑOZ DE LAS POSADAS";"MARTIN MUÑOZ DE LAS POSADAS";"920311027";"920311214";"";"";"";"";"";"16";"";"";"";
"40/000040";"Hostal Residencia";"2ª - 2 Estrellas";"";"RYA";"Carretera NACIONAL I, KM 117";"40560";"Segovia";"Boceguillas";"BOCEGUILLAS";"BOCEGUILLAS";"921543792";"";"";"";"";"";"";"47";"";"";"";
"40/000042";"Pensión";"Categoría única";"";"FUENTES";"CTRA. CORUÑA, KM. 96";"40146";"Segovia";"Labajos";"LABAJOS";"LABAJOS";"921190505";"679481891";"";"";"";"";"";"20";"";"";"";
"40/000044";"Hostal Residencia";"2ª - 2 Estrellas";"";"ROMI";"Calle ONESIMO REDONDO, 12";"40320";"Segovia";"Cantalejo";"CANTALEJO";"CANTALEJO";"921520211";"";"";"";"";"";"";"15";"";"";"";
"40/000045";"Hotel";"2ª - 2 Estrellas";"";"POLVORIN";"CTRA. SEGOVIA, 1";"40320";"Segovia";"Cantalejo";"CANTALEJO";"CANTALEJO";"921520117";"689916771";"";"";"www.cantalejo.com";"";"";"40";"";"";"Si";
"40/000046";"Pensión";"Categoría única";"";"NATURA PLAZA";"Calle  ESCUDEROS 10";"40001";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921466710";"685429664";"";"";"";"";"";"8";"";"";"";
"40/000049";"Hotel Residencia";"2ª - 2 Estrellas";"";"ROMA";"Calle GUARDAS, 2";"40100";"Segovia";"Real Sitio de San Ildefonso";"SAN ILDEFONSO O LA GRANJA";"SAN ILDEFONSO O LA GRANJA";"921470752";"";"";"info@hotelroma.org";"www.hotelroma.org";"";"";"28";"";"";"";
"40/000050";"Pensión";"Categoría única";"";"LOBO";"PLAZA MAYO, 7";"40161";"Segovia";"Navafría";"NAVAFRIA";"NAVAFRIA";"921506034";"";"";"";"";"";"";"5";"";"";"";
"40/000051";"Hotel";"3ª - 3 Estrellas";"";"HOTEL EXE CASA  DE LOS LINAJES";"Calle DOCTOR VELASCO 9";"40003";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921414810";"673331504";"";"direccion@execasadeloslinajes.com";"";"";"";"117";"-4,1252972";"40,9524833";"Si";
"40/000053";"Hotel";"2ª - 2 Estrellas";"";"CORREGIDOR";"Calle  DEL  3 DE ABRIL, 1";"40002";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921425761";"630010223";"";"info@hotelcorregidor.com     reservas@hotelcorregidor.com";"hotelcorregidor.com";"";"";"124";"-4,1216667";"40,9438889";"";
"40/000056";"Hotel";"4ª - 4 Estrellas";"";"LOS ARCOS";"Paseo EZEQUIEL GONZALEZ, 26";"40002";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921437462";"629162921";"";"hotellosarcos@hotellosarcos.com";"www.arhoteles.com";"";"";"113";"-4,120699";"40,943818";"";
"40/000059";"Hotel";"4ª - 4 Estrellas";"";"PUERTA DE SEGOVIA";"Carretera DE  SORIA 12";"40196";"Segovia";"Lastrilla (La)";"LASTRILLA (LA)";"LASTRILLA (LA)";"921437161";"";"";"info@hotelpuertadesegovia.com";"www.hotelpuertadesegovia.com";"";"";"389";"";"";"Si";
"40/000064";"Hotel";"3ª - 3 Estrellas";"";"MIRASIERRA";"Autovia AUTORIVA A-1, KM. 99";"40590";"Segovia";"Santo Tomé del Puerto";"VILLAREJO";"VILLAREJO";"921557105";"921557298";"";"reservas@hotelmirasierra.commiprima@hotelmirasierra.com";"www.hotelmirasierra.com";"";"";"59";"-3,5838654";"41,1884337";"";
"40/000066";"Hostal Residencia";"1ª - 1 Estrella";"";"SOL CRISTINA DOS";"CTRA. DE VILLACASTIN, Nº  6-2ºL y 8, 2ºP";"40006";"Segovia";"Segovia";"SEGOVIA";"SEGOVIA";"921427513";"921436671";"";"hostal@sol-cristina.com";"www.sol-cristina.com";"";"";"22";"-4,114251";"40,933715";"";
"40/000071";"Hostal";"1ª - 1 Estrella";"";"DITIRAMBO";"C/ SANTA MARINA, 3";"40200";"Segovia";"Cuéllar";"CUELLAR";"CUELLAR";"921140693";"";"";"diticuellar@gmail.com";"";"";"";"22";"";"";"";
